# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
128,1162,0,082902,Dilley ISD,Frio,C,1652,19897,21549,830,https://txschools.net/district/dilley-isd-082902
129,1162,0,147903,Mexia ISD,Limestone,C,1653,15137,16790,1780,https://txschools.net/district/mexia-isd-147903
130,1162,0,077902,Lockney ISD,Floyd,D,1668,19297,20965,387,https://txschools.net/district/lockney-isd-077902
131,1162,0,212905,Tyler ISD,Smith,B,1673,12660,14333,18800,https://txschools.net/district/tyler-isd-212905
132,1162,0,183801,Panola Charter School,Panola,A,1689,9058,10747,174,https://txschools.net/district/panola-charter-school-183801
133,1162,0,108915,Monte Alto ISD,Hidalgo,B,1703,17225,18928,764,https://txschools.net/district/monte-alto-isd-108915
134,1162,0,057910,Grand Prairie ISD,Dallas,B,1712,13845,15557,25445,https://txschools.net/district/grand-prairie-isd-057910
135,1162,0,181907,Vidor ISD,Orange,C,1753,12489,14242,4095,https://txschools.net/district/vidor-isd-181907
136,1162,0,015909,Somerset ISD,Bexar,B,1789,12790,14579,4169,https://txschools.net/district/somerset-isd-015909
137,1162,0,020908,Pearland ISD,Brazoria,A,1795,12536,14331,20555,https://txschools.net/district/pearland-isd-020908
138,1162,0,119901,Bryson ISD,Jack,B,1797,16811,18608,262,https://txschools.net/district/bryson-isd-119901
139,1162,0,227814,Chaparral Star Academy,Travis,A,1840,7588,9428,385,https://txschools.net/district/chaparral-star-academy-227814
140,1162,0,057831,Gateway Charter Academy,Dallas,D,1846,10133,11979,430,https://txschools.net/district/gateway-charter-academy-057831
141,1162,0,057850,Pioneer Technology & Arts Academy,Dallas,C,1869,11390,13259,2400,https://txschools.net/district/pioneer-technology-arts-academy-057850
142,1162,0,154901,Madisonville CISD,Madison,B,1905,12027,13932,2339,https://txschools.net/district/madisonville-cisd-154901
143,1162,0,232903,Uvalde CISD,Uvalde,F,1937,12136,14073,3815,https://txschools.net/district/uvalde-cisd-232903
144,1162,0,184901,Poolville ISD,Parker,C,1959,12283,14242,764,https://txschools.net/district/poolville-isd-184901
145,1162,0,147902,Groesbeck ISD,Limestone,C,1985,12229,14214,1457,https://txschools.net/district/groesbeck-isd-147902
146,1162,0,084908,Hitchcock ISD,Galveston,D,2034,18513,20547,1937,https://txschools.net/district/hitchcock-isd-084908
147,1162,1,015806,Legacy Traditional Schools - Texas,Bexar,B,2040,12638,14678,1855,https://txschools.net/district/legacy-traditional-schools-texas-015806
147,1162,1,139909,Paris ISD,Lamar,B,2040,12292,14332,3728,https://txschools.net/district/paris-isd-139909
149,1162,0,071909,Socorro ISD,El Paso,B,2042,10949,12991,45850,https://txschools.net/district/socorro-isd-071909
150,1162,0,114904,Forsan ISD,Howard,B,2049,13729,15778,674,https://txschools.net/district/forsan-isd-114904
151,1162,0,057808,Universal Academy,Dallas,A,2054,8991,11045,2051,https://txschools.net/district/universal-academy-057808
152,1162,0,175903,Corsicana ISD,Navarro,C,2061,11689,13750,5910,https://txschools.net/district/corsicana-isd-175903
153,1162,0,057914,Mesquite ISD,Dallas,B,2075,13769,15844,36585,https://txschools.net/district/mesquite-isd-057914
154,1162,0,121902,Brookeland ISD,Jasper,B,2081,13862,15943,391,https://txschools.net/district/brookeland-isd-121902
